Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
"IDAM - INSTITUTO DE DIREITO, ADVOCACIA E GESTÃO DA AMAZÔNIA",,(96) 99127-8295,https://idam.com.br/,"Av. Henrique Galucio, 1081 - Altos - Centro, Macapá - AP, 68900-115","5,0",20,,,"https://www.google.com/maps/place/IDAM+-+INSTITUTO+DE+DIREITO,+ADVOCACIA+E+GEST%C3%83O+DA+AMAZ%C3%94NIA/data=!4m7!3m6!1s0x8d61e7bea75239c5:0x3a8fc9ec87c7b436!8m2!3d0.0310274!4d-51.060123!16s%2Fg%2F11jmy50vz6!19sChIJxTlSp77nYY0RNrTHh-zJjzo?authuser=0&hl=pt-BR&rclk=1"
Alerrandro Barros Advogado Criminalista Amapá,,(96) 98121-1828,https://advogadoalerrandrobarros.com.br/,"Av. Diógenes Silva, 2411 - Trem, Macapá - AP, 68900-971","5,0",34,,,https://www.google.com/maps/place/Alerrandro+Barros+Advogado+Criminalista+Amap%C3%A1/data=!4m7!3m6!1s0x8d61e1972c32beb3:0xe4758ad8f7ea3564!8m2!3d0.0261705!4d-51.0769775!16s%2Fg%2F11mbygx9ph!19sChIJs74yLJfhYY0RZDXq99iKdeQ?authuser=0&hl=pt-BR&rclk=1
Sousa Advogados | Advocacia Previdenciária e Trabalhista,,0800 343 1000,https://sousaadvogados.adv.br/,"Av. Felíciano Coelho, 976 - A - Trem, Macapá - AP, 68901-025","4,9",434,,,https://www.google.com/maps/place/Sousa+Advogados+%7C+Advocacia+Previdenci%C3%A1ria+e+Trabalhista/data=!4m7!3m6!1s0x8d61e17945c3412b:0x2bff4f0164e9c309!8m2!3d0.0293689!4d-51.0624589!16s%2Fg%2F11fn7j0_2p!19sChIJK0HDRXnhYY0RCcPpZAFP_ys?authuser=0&hl=pt-BR&rclk=1
Emmanuel Dante Advocacia e Assessoramento - OAB/AP 1309,,(96) 99169-6828,https://emmanueldante.adv.br/,"Av. dos Guaranís, 296 - Beirol, Macapá - AP, 68902-160","4,8",9,,,https://www.google.com/maps/place/Emmanuel+Dante+Advocacia+e+Assessoramento+-+OAB%2FAP+1309/data=!4m7!3m6!1s0x8d61e110c50c1fb5:0xbc26e9687ee4fdfa!8m2!3d0.0157316!4d-51.0644351!16s%2Fg%2F11dyxbbrn7!19sChIJtR8MxRDhYY0R-v3kfmjpJrw?authuser=0&hl=pt-BR&rclk=1
Wagner Advogados Associados,,(96) 98112-0111,http://www.wagner.adv.br/,"Av. Machado de Assis, 328 - Central, Macapá - AP, 68900-066","4,4",128,,,https://www.google.com/maps/place/Wagner+Advogados+Associados/data=!4m7!3m6!1s0x8d61e1a7fdab6d11:0x4fb5d283a9d6fcbd!8m2!3d0.0403257!4d-51.0628628!16s%2Fg%2F11btn14vq4!19sChIJEW2r_afhYY0RvfzWqYPStU8?authuser=0&hl=pt-BR&rclk=1
Celso Maciel | Advocacia Trabalhista,,(96) 98131-8158,https://wa.me/+5596981318158,"Av. Salgado Filho, 140 - Central, Macapá - AP, 68900-032","5,0",18,,,https://www.google.com/maps/place/Celso+Maciel+%7C+Advocacia+Trabalhista/data=!4m7!3m6!1s0x8d61e1247cfd6003:0x80befc378dfc336f!8m2!3d0.033439!4d-51.0658215!16s%2Fg%2F11x8_l_101!19sChIJA2D9fCThYY0RbzP8jTf8voA?authuser=0&hl=pt-BR&rclk=1
Bruno Teles | Advogado Criminalista em Macapá,,(96) 98119-4416,,"Rua Dr. Marcelo Cândia, 1392 - Santa Rita, Macapá - AP, 68902-000","5,0",4,0.0326883,-51.0750558,"https://www.google.com/maps/place/Bruno+Teles+%7C+Advogado+Criminalista+em+Macap%C3%A1/@0.0326883,-51.0750558,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e19ce11b9717:0xe0dc5cf8bb906ec6!8m2!3d0.0326883!4d-51.0750558!16s%2Fg%2F11h4k72zpq?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
AMORIM & LOURENÇO -ADVOGADOS-,,(96) 98484-8484,,"Av. Gen. Gurjão, 414 - Central, Macapá - AP, 68900-050","4,6",51,0.0363856,-51.0544548,"https://www.google.com/maps/place/AMORIM+%26+LOUREN%C3%87O+-ADVOGADOS-/@0.0363856,-51.0544548,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e11d53740001:0x8815a5ef1d0e367b!8m2!3d0.0363856!4d-51.0544548!16s%2Fg%2F11vlx13dmq?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Jean Ferreira - Advogados,,(96) 98131-2707,https://jeanferreiraadv.com.br/,"Av. Profa. Cora de Carvalho, 662 - Central, Macapá - AP, 68900-040","5,0",182,,,https://www.google.com/maps/place/Jean+Ferreira+-+Advogados/data=!4m7!3m6!1s0x8d61e1ff9951cd3b:0xd99bad3c1a862ab1!8m2!3d0.0355065!4d-51.0549033!16s%2Fg%2F11w1x2shym!19sChIJO81Rmf_hYY0RsSqGGjytm9k?authuser=0&hl=pt-BR&rclk=1
Escritório de Advocacia Diony Melo,,(96) 98122-5533,,"Av. 13 de Setembro, 1075-d - 1075-d - Buritizal, Macapá - AP, 68902-865","5,0",19,0.022428,-51.0669436,"https://www.google.com/maps/place/Escrit%C3%B3rio+de+Advocacia+Diony+Melo/@0.022428,-51.0669436,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e15e2243c929:0x1a84dc32eb322665!8m2!3d0.022428!4d-51.0669436!16s%2Fg%2F11rq5hv8zl?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
