Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
Vinicius Reis,,(96) 98148-1816,http://drviniciusreis.com.br/,"Av. Fab, 2557 - Santa Rita, Macapá - AP, 68901-259","4,4",16,,,https://www.google.com/maps/place/Vinicius+Reis/data=!4m7!3m6!1s0x8d61e114fbe95555:0xa5a79d3d173ca2c!8m2!3d0.0414742!4d-51.0727253!16s%2Fg%2F11l663dzwr!19sChIJVVXp-xThYY0RLMpz0dN5Wgo?authuser=0&hl=pt-BR&rclk=1
Clínica Oliveira | Medicina Especializada,,(96) 99138-9280,https://clinicaoliveiramacapa.com.br/,"Av. Antônio Coelho de Carvalho, 2604 - Santa Rita, Macapá - AP, 68901-280","4,8",224,,,https://www.google.com/maps/place/Cl%C3%ADnica+Oliveira+%7C+Medicina+Especializada/data=!4m7!3m6!1s0x8d61e1135a342a21:0x8440e28bd859d023!8m2!3d0.0333599!4d-51.0743569!16s%2Fg%2F11rwmf2tp3!19sChIJISo0WhPhYY0RI9BZ2IviQIQ?authuser=0&hl=pt-BR&rclk=1
Hospital São Camilo e São Luís,,(96) 3312-2400,http://www.saocamilomacapa.org.br/,"Rua Dr. Marcelo Cândia, 472 - Santa Rita, Macapá - AP, 68901-341","2,5",36,,,https://www.google.com/maps/place/Hospital+S%C3%A3o+Camilo+e+S%C3%A3o+Lu%C3%ADs/data=!4m7!3m6!1s0x8d61e16d2c3b75cd:0x2bb669b4e9e35a2d!8m2!3d0.0387189!4d-51.0749079!16s%2Fg%2F1yfj67322!19sChIJzXU7LG3hYY0RLVrj6bRptis?authuser=0&hl=pt-BR&rclk=1
DR MARCO SERRUYA,,(96) 99150-5109,http://www.drmarcoserruya.com.br/,"Av. Euclides da Cunha, 573 - Santa Rita, Macapá - AP, 68901-257","5,0",21,,,https://www.google.com/maps/place/DR+MARCO+SERRUYA/data=!4m7!3m6!1s0x88de7f3d56da9bd9:0x32cb5823cc939f3d!8m2!3d0.0406221!4d-51.0712569!16s%2Fg%2F11x37dfmcm!19sChIJ2ZvaVj1_3ogRPZ-TzCNYyzI?authuser=0&hl=pt-BR&rclk=1
Dr. Vanir Ibiapino - Cirurgião Geral,,(96) 99158-5443,https://drvaniribiapino.com.br/,"Rua Dr. Marcelo Cândia, 823 - 2° Piso - Sala 01 - Santa Rita, Macapá - AP, 68901-341",,,,,https://www.google.com/maps/place/Dr.+Vanir+Ibiapino+-+Cirurgi%C3%A3o+Geral/data=!4m7!3m6!1s0x8d61e132f43f6855:0x23280343847ff5c4!8m2!3d0.0377897!4d-51.0743497!16s%2Fg%2F11gk_1pd3v!19sChIJVWg_9DLhYY0RxPV_hEMDKCM?authuser=0&hl=pt-BR&rclk=1
Raimundo Rocha Neto,,(96) 98124-7370,,"Av. Primeiro de Maio, 663 - Trem, Macapá - AP, 68901-100","5,0",5,0.0244105,-51.0623087,"https://www.google.com/maps/place/Raimundo+Rocha+Neto/@0.0244105,-51.0623087,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1af189f8cb1:0x7d58c781431777e9!8m2!3d0.0244105!4d-51.0623087!16s%2Fg%2F11bztcp4cv?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Hospital de Clínicas Doutor Alberto Lima,,(96) 3131-2439,,"Av. Fab, 70 - CENTRO, Macapá - AP, 68900-073","2,9",76,0.0401195,-51.0586932,"https://www.google.com/maps/place/Hospital+de+Cl%C3%ADnicas+Doutor+Alberto+Lima/@0.0401195,-51.0586932,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1142c10ea69:0x419fecc50675a53c!8m2!3d0.0401195!4d-51.0586932!16s%2Fg%2F120trykn?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Dra. Marcia Lorena,,(96) 99110-0990,http://wa.me/5596991100990,"R. Jovino Dinoá, 4386 - Beirol, Macapá - AP, 68902-030","5,0",43,,,https://www.google.com/maps/place/Dra.+Marcia+Lorena/data=!4m7!3m6!1s0x8d61e13113b9dd3d:0xcd2e054d7f81c946!8m2!3d0.0131642!4d-51.0619581!16s%2Fg%2F11y26n5bhd!19sChIJPd25EzHhYY0RRsmBf00FLs0?authuser=0&hl=pt-BR&rclk=1
Lecildo Lira Batista,,,https://www.instagram.com/lecildolira/,"Rua Dr. Marcelo Cândia, 472 - Santa Rita, Macapá - AP, 68901-341","4,9",14,0.0387189,-51.0749092,"https://www.google.com/maps/place/Lecildo+Lira+Batista/@0.0387189,-51.0749092,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e18b3d291301:0x9d2d7e0e08b31101!8m2!3d0.0387189!4d-51.0749092!16s%2Fg%2F11r1s0y4f0?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Cirurgião Plástico Orozimbo,,(96) 98141-7947,,"R. Manoel Eudóxio Pereira, 1816 - CENTRO, Macapá - AP, 68900-021","5,0",63,0.033964,-51.0666789,"https://www.google.com/maps/place/Cirurgi%C3%A3o+Pl%C3%A1stico+Orozimbo/@0.033964,-51.0666789,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1e2f9523b15:0x50b64f7de5518b34!8m2!3d0.033964!4d-51.0666789!16s%2Fg%2F11jknl2z2v?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
