Nome,Categoria,Telefone,Website,Endereço,Avaliação,Total Avaliações,Latitude,Longitude,Link do Maps
Espaço Cognitivo,,(96) 98114-7165,https://ecognitivo.com.br/,"Av. Duque de Caxias, 1220 - Central, Macapá - AP, 68900-060","5,0",6,,,https://www.google.com/maps/place/Espa%C3%A7o+Cognitivo/data=!4m7!3m6!1s0x8d61e1973465b559:0x1e0769300e53714a!8m2!3d0.039882!4d-51.0671783!16s%2Fg%2F11t83nn409!19sChIJWbVlNJfhYY0RSnFTDjBpBx4?authuser=0&hl=pt-BR&rclk=1
Psicóloga Anne Caroline,,(96) 98121-8167,,"Av. 13 de Setembro, 1172 - Buritizal, Macapá - AP, 68902-000","5,0",1,0.0227756,-51.0679543,"https://www.google.com/maps/place/Psic%C3%B3loga+Anne+Caroline/@0.0227756,-51.0679543,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1a4e9a14493:0x1629d7bf32f44b8a!8m2!3d0.0227756!4d-51.0679543!16s%2Fg%2F11hbkc2pby?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Clinica Santana Psicologia,,,,"R. Adalvaro Alves Cavalcante, 1003 - Central, Santana - AP, 68925-189",,,-0.0397872,-51.1689709,"https://www.google.com/maps/place/Clinica+Santana+Psicologia/@-0.0397872,-51.1689709,17z/data=!3m1!4b1!4m6!3m5!1s0x929e1cc5fef6be95:0x12097a95469d61bf!8m2!3d-0.0397872!4d-51.1689709!16s%2Fg%2F11tsjxzslb?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Espaço Bem-Estar e Saúde,,(96) 98116-3765,https://www.instagram.com/bemestarsaudeap?igsh=MTZqaTRycnZxbjltag%3D%3D&utm_source=qr,"Av. Primeiro de Maio, 236 - Trem, Macapá - AP, 68902-530","4,9",88,,,https://www.google.com/maps/place/Espa%C3%A7o+Bem-Estar+e+Sa%C3%BAde/data=!4m7!3m6!1s0x8d61e13465b49171:0x25d25c92eea25111!8m2!3d0.024429!4d-51.0584017!16s%2Fg%2F11p5ggxw6c!19sChIJcZG0ZTThYY0REVGi7pJc0iU?authuser=0&hl=pt-BR&rclk=1
Recriar Clinica de Psicologia,,(96) 3225-5146,,"Av. Ceará, 491 - Pacoval, Macapá - AP, 68908-260","5,0",1,0.0554927,-51.054697,"https://www.google.com/maps/place/Recriar+Clinica+de+Psicologia/@0.0554927,-51.054697,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e139bb74ad8b:0xe98cba6d2d2ba60b!8m2!3d0.0554927!4d-51.054697!16s%2Fg%2F11fm71qchd?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Daniely Felicio - Psicóloga Infantojuvenil em macapá,,(96) 99182-3293,,"R. Paraná, 949b - Santa Rita, Macapá - AP, 68901-260","5,0",12,0.0374551,-51.076517,"https://www.google.com/maps/place/Daniely+Felicio+-+Psic%C3%B3loga+Infantojuvenil+em+macap%C3%A1/@0.0374551,-51.076517,17z/data=!3m1!4b1!4m6!3m5!1s0x8f2f835e24d810dd:0x2da59a6b6ff51c81!8m2!3d0.0374551!4d-51.076517!16s%2Fg%2F11kj0vqt8x?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Mente Sã - Reni Wilka Psicologa,,(96) 99192-1105,https://cliqueiachei.com/mentesa,"Av. Pres. Vargas, 1278 - Santa Rita, Macapá - AP, 68900-000","5,0",13,,,https://www.google.com/maps/place/Mente+S%C3%A3+-+Reni+Wilka+Psicologa/data=!4m7!3m6!1s0x8d61e1baf6f3a5d1:0xa593912bcd2cb74c!8m2!3d0.0385491!4d-51.061257!16s%2Fg%2F11x2lxy7jw!19sChIJ0aXz9rrhYY0RTLcszSuRk6U?authuser=0&hl=pt-BR&rclk=1
Psicóloga Gleice Kelly Olanda Cordeiro - CRP 10/08184,,(96) 99151-7872,,"Av. Antônio Coelho de Carvalho, 1770 - Centro, Macapá - AP, 68900-000","5,0",10,0.0326897,-51.0667501,"https://www.google.com/maps/place/Psic%C3%B3loga+Gleice+Kelly+Olanda+Cordeiro+-+CRP+10%2F08184/@0.0326897,-51.0667501,17z/data=!3m1!4b1!4m6!3m5!1s0x2cd79c8b7d0f67d:0xfad7777f3849f668!8m2!3d0.0326897!4d-51.0667501!16s%2Fg%2F11rj54s8mr?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Consultório de Psicologia,,(96) 98134-7722,,"Av. 13 de Setembro, 1172 - Buritizal, Macapá - AP, 68902-000","5,0",1,0.0227756,-51.0679543,"https://www.google.com/maps/place/Consult%C3%B3rio+de+Psicologia/@0.0227756,-51.0679543,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1a4e9a82d1b:0x1d94a8a100f69665!8m2!3d0.0227756!4d-51.0679543!16s%2Fg%2F11g7z55sj2?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicólogo Online - Ewerton Alvares,,(96) 99119-1893,https://linkme.bio/psicologo.ewerton.alvares,"Av. Fab, 1940 - Central, Macapá - AP, 68900-073","5,0",25,,,https://www.google.com/maps/place/Psic%C3%B3logo+Online+-+Ewerton+Alvares/data=!4m7!3m6!1s0x8d61e1462a974e7d:0x47108c9538c802b4!8m2!3d0.0414851!4d-51.0672288!16s%2Fg%2F11ryrmzmw_!19sChIJfU6XKkbhYY0RtALIOJWMEEc?authuser=0&hl=pt-BR&rclk=1
Franciele Lima Psicóloga Junguiana,,(96) 98135-1155,https://www.instagram.com/psi.francielelima/,,,,0.1015799,-51.094989,"https://www.google.com/maps/place/Franciele+Lima+Psic%C3%B3loga+Junguiana/@0.1015799,-51.094989,11z/data=!3m1!4b1!4m6!3m5!1s0xaf22c93cd29d79f9:0xfdf4d06821facdd6!8m2!3d0.1015799!4d-51.094989!16s%2Fg%2F11w8xtf1p9?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
TEDI - Terapias Especializadas em Desenvolvimento Infantil,,(96) 98131-0217,,"Avenida Procópio Rola, 2080 Entre Hildemar Maia, R. Santos Dumont, e - Santa Rita, Macapá - AP, 68901-076","5,0",36,0.0427333,-51.0717046,"https://www.google.com/maps/place/TEDI+-+Terapias+Especializadas+em+Desenvolvimento+Infantil/@0.0427333,-51.0717046,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e137a59d40e7:0x533508789dfc13dc!8m2!3d0.0427333!4d-51.0717046!16s%2Fg%2F11gyxhk1m2?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Philos Espaço Terapêutico,,(96) 98117-6324,https://www.instagram.com/philos_psi/,"R. Odilardo Silva, 767 - Laguinho, Macapá - AP, 68908-182","5,0",2,,,https://www.google.com/maps/place/Philos+Espa%C3%A7o+Terap%C3%AAutico/data=!4m7!3m6!1s0x8d61e113083a9fa1:0x7c83d2395b4763da!8m2!3d0.0449836!4d-51.05735!16s%2Fg%2F11l4pj_td1!19sChIJoZ86CBPhYY0R2mNHWznSg3w?authuser=0&hl=pt-BR&rclk=1
Consultório de avaliação neuropsicológica Lediane Miranda,,(96) 99168-5625,,"Av. Mendonça Furtado, 2384 - Central, Macapá - AP, 68901-254","5,0",4,0.0384288,-51.0731944,"https://www.google.com/maps/place/Consult%C3%B3rio+de+avalia%C3%A7%C3%A3o+neuropsicol%C3%B3gica+Lediane+Miranda/@0.0384288,-51.0731944,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e168527f98e7:0x55b377d451ca5016!8m2!3d0.0384288!4d-51.0731944!16s%2Fg%2F11ypbs76m2?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
INSTITUTO KOGA - Psiquiatria e Psicologia,,(96) 99169-9193,https://drkoga.com.br/,"Av. Duque de Caxias, 1129 - Sala 1202 - Central, Macapá - AP, 68900-071","5,0",53,,,https://www.google.com/maps/place/INSTITUTO+KOGA+-+Psiquiatria+e+Psicologia/data=!4m7!3m6!1s0x5608fb11425a0cd:0xd7b5068a4fb0ad71!8m2!3d0.0394329!4d-51.0663361!16s%2Fg%2F11qgdgzdyh!19sChIJzaAlFLGPYAURca2wT4oGtdc?authuser=0&hl=pt-BR&rclk=1
Espaço Reap,,(96) 98131-8016,http://www.espacoreap.com.br/,"R. Manoel Eudóxio Pereira, 3607 - Buritizal, Macapá - AP, 68902-000","5,0",5,,,https://www.google.com/maps/place/Espa%C3%A7o+Reap/data=!4m7!3m6!1s0x8d61e17526510ab3:0x31d2b941add74fc5!8m2!3d0.0171472!4d-51.067394!16s%2Fg%2F11ssvj7x6z!19sChIJswpRJnXhYY0RxU_XrUG50jE?authuser=0&hl=pt-BR&rclk=1
Instituto Cuidar-te,,(96) 99186-8969,,"R. Mato Grosso, 635 - Pacoval, Macapá - AP, 68908-350","5,0",1,0.0569602,-51.0567279,"https://www.google.com/maps/place/Instituto+Cuidar-te/@0.0569602,-51.0567279,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e126197bee39:0xc79c7bac15767775!8m2!3d0.0569602!4d-51.0567279!16s%2Fg%2F11z184r3lc?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Alessandra Ferreira/ Psicóloga Macapá CRP 3571-10,,(96) 99163-8286,,"Av. Mendonça Furtado, 1925 - Central, Macapá - AP, 68902-317","5,0",1,0.037755,-51.0690137,"https://www.google.com/maps/place/Alessandra+Ferreira%2F+Psic%C3%B3loga+Macap%C3%A1+CRP+3571-10/@0.037755,-51.0690137,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e160126e9bd3:0xa2e57bab64ea4183!8m2!3d0.037755!4d-51.0690137!16s%2Fg%2F11vdpc_v_y?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicóloga Mariedna Oliveira,,(96) 98140-0663,,"Av. Fab, 1070 - Sala 608 - Central, Macapá - AP, 68900-073","5,0",1,0.0410835,-51.0595724,"https://www.google.com/maps/place/Psic%C3%B3loga+Mariedna+Oliveira/@0.0410835,-51.0595724,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e147a844c5dd:0x6c11e4e465963cc6!8m2!3d0.0410835!4d-51.0595724!16s%2Fg%2F11nx98qm_j?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicólogo Aurélio Albuquerque,,,http://wa.me/5596981162671,"R. São José, 715 - Laguinho, Macapá - AP, 68908-272","5,0",18,0.0468432,-51.0509938,"https://www.google.com/maps/place/Psic%C3%B3logo+Aur%C3%A9lio+Albuquerque/@0.0468432,-51.0509938,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1d25a6acfdd:0x7068ce6f31d6308b!8m2!3d0.0468432!4d-51.0509938!16s%2Fg%2F11l29mys0w?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Centro de Saúde Juliana Garcia,,(96) 99166-4962,https://centrodesaudejulianagarcia.com.br/,"Av. Mendonça Furtado, 2130 - Santa Rita, Macapá - AP, 68901-254","5,0",20,,,https://www.google.com/maps/place/Centro+de+Sa%C3%BAde+Juliana+Garcia/data=!4m7!3m6!1s0x8d61e10ba285eb9b:0x739552fb4397ea41!8m2!3d0.0384184!4d-51.0708873!16s%2Fg%2F11wf_fb0pb!19sChIJm-uFogvhYY0RQeqXQ_tSlXM?authuser=0&hl=pt-BR&rclk=1
North Clín Reabilitação e Desenvolvimento,,(96) 99131-0454,https://www.instagram.com/northclin.ap?igsh=ZGc2M2I4cDJvOGFj,"Av. José Antônio Siqueira, 995 - Laguinho, Macapá - AP, 68908-193","5,0",9,,,https://www.google.com/maps/place/North+Cl%C3%ADn+Reabilita%C3%A7%C3%A3o+e+Desenvolvimento/data=!4m7!3m6!1s0x8d61e171b3fb24cd:0x653f185e70302d66!8m2!3d0.0446998!4d-51.0590333!16s%2Fg%2F11nbmtpwdp!19sChIJzST7s3HhYY0RZi0wcF4YP2U?authuser=0&hl=pt-BR&rclk=1
Consultório Psicológico Dra Ellen Barros,,(96) 98101-0330,,"Av. Mendonça Furtado, 1925 - Centro, Macapá - AP, 68900-060","5,0",5,0.037755,-51.0690137,"https://www.google.com/maps/place/Consult%C3%B3rio+Psicol%C3%B3gico+Dra+Ellen+Barros/@0.037755,-51.0690137,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1adc34b48bf:0x95bc49d9892e55d8!8m2!3d0.037755!4d-51.0690137!16s%2Fg%2F11pcs13ct0?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
CAPS- III Casa Gentileza - Centro De Atenção Psicossocial,,,,"Av. Marcílio Dias, 1395 - Julião Ramos, Macapá - AP, 68908-124","4,8",21,0.0507302,-51.062237,"https://www.google.com/maps/place/CAPS-+III+Casa+Gentileza+-+Centro+De+Aten%C3%A7%C3%A3o+Psicossocial/@0.0507302,-51.062237,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e12164796309:0x2dd7a8d575ccbcde!8m2!3d0.0507302!4d-51.062237!16s%2Fg%2F11b5pjw8gf?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Sheila Samili- Neuropsicóloga,,(96) 98141-3036,,"R. Leopoldo Machado, 3704 - Beirol, Macapá - AP, 68908-000","5,0",4,0.0189626,-51.0636201,"https://www.google.com/maps/place/Sheila+Samili-+Neuropsic%C3%B3loga/@0.0189626,-51.0636201,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1e7e59fd31f:0x8e0a6a26a5853420!8m2!3d0.0189626!4d-51.0636201!16s%2Fg%2F11y__fs_jd?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicóloga Valéria Regina,,(96) 98113-5224,,"Acelino de Leão, 742 - Santa Rita, Macapá - AP, 68909-000","5,0",2,0.0262534,-51.0626306,"https://www.google.com/maps/place/Psic%C3%B3loga+Val%C3%A9ria+Regina/@0.0262534,-51.0626306,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1b40642fc1d:0x4d5678a6622060c4!8m2!3d0.0262534!4d-51.0626306!16s%2Fg%2F11vpmct7q2?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Aline Guimarães | Psicóloga em Macapá,,(96) 99194-0626,,"Av. Padre Júlio Maria Lombaerd, 1325a - Centro, Macapá - AP, 68900-030","5,0",8,0.0346639,-51.0609183,"https://www.google.com/maps/place/Aline+Guimar%C3%A3es+%7C+Psic%C3%B3loga+em+Macap%C3%A1/@0.0346639,-51.0609183,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e163e1af6a77:0x3aa2fa686e855cbc!8m2!3d0.0346639!4d-51.0609183!16s%2Fg%2F11tmzj48ch?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
"Psicóloga, Talyta Pontes",,(96) 98121-6467,,"Rua - Av. Almirante Barroso, 1890 - Bairro: - Santa Rita, Macapá - AP, 68901-336","5,0",5,0.0377435,-51.0740917,"https://www.google.com/maps/place/Psic%C3%B3loga,+Talyta+Pontes/@0.0377435,-51.0740917,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1d484d21835:0xa0d024a18445e353!8m2!3d0.0377435!4d-51.0740917!16s%2Fg%2F11j7hhfscn?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
RAQUEL FERMAN - Psicóloga,,(96) 98115-5122,,"Av. Almirante Barroso, 1210 - Santa Rita, Macapá - AP, 68900-041","5,0",1,0.0372863,-51.0680097,"https://www.google.com/maps/place/RAQUEL+FERMAN+-+Psic%C3%B3loga/@0.0372863,-51.0680097,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e111b8e7e021:0x39f8e56a433033f!8m2!3d0.0372863!4d-51.0680097!16s%2Fg%2F11c0pld7rj?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Mentor Mind Psicotestes,,(96) 3223-7511,http://www.facebook.com/mentormindpsicotestes,"Av. Procópio Rola, 440 - Central, Macapá - AP, 68900-081","4,7",37,,,https://www.google.com/maps/place/Mentor+Mind+Psicotestes/data=!4m7!3m6!1s0x8d61e1e19dd41ff1:0xb324f2d4801a4573!8m2!3d0.0416039!4d-51.0568104!16s%2Fg%2F11g1lsm7kb!19sChIJ8R_UneHhYY0Rc0UagNTyJLM?authuser=0&hl=pt-BR&rclk=1
Psicóloga Tamara Levy,,(96) 98111-7454,,"Av. 13 de Setembro, 1172 - Buritizal, Macapá - AP, 68902-000","5,0",1,0.0227756,-51.0679543,"https://www.google.com/maps/place/Psic%C3%B3loga+Tamara+Levy/@0.0227756,-51.0679543,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e1a4e9a82d1b:0x4d92baf1dc803a2c!8m2!3d0.0227756!4d-51.0679543!16s%2Fg%2F11dftpg222?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Psicóloga Marina Tork - CRP 10/03736,,,,"Av.: Fab, 1070 - sl 209 - Centro, Macapá - AP, 68900-073",,,0.0410835,-51.0595724,"https://www.google.com/maps/place/Psic%C3%B3loga+Marina+Tork+-+CRP+10%2F03736/@0.0410835,-51.0595724,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e13ee5d0567d:0xcd17a371715c927b!8m2!3d0.0410835!4d-51.0595724!16s%2Fg%2F11pcxxb734?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
ICCA - Instituto Cristão de Cardiologia do Amapá,,(96) 3224-3317,http://icca.med.br/,"Rua Dr. Marcelo Cândia, 823 - Santa Rita, Macapá - AP, 68901-341","2,7",204,,,https://www.google.com/maps/place/ICCA+-+Instituto+Crist%C3%A3o+de+Cardiologia+do+Amap%C3%A1/data=!4m7!3m6!1s0x8d61e10d542256a9:0xa93dfec86329ba69!8m2!3d0.0377978!4d-51.0743191!16s%2Fg%2F1pty93r4j!19sChIJqVYiVA3hYY0RabopY8j-Pak?authuser=0&hl=pt-BR&rclk=1
Clinicas Integradas Secco Jung,,(96) 3344-8000,http://www.seccojung.com.br/,"Av. Almirante Barroso, 1890 - Bairro: - Santa Rita, Macapá - AP, 68901-336","3,2",83,,,https://www.google.com/maps/place/Clinicas+Integradas+Secco+Jung/data=!4m7!3m6!1s0x8d61e112d05bec6d:0xd0332d2699f0ffd5!8m2!3d0.0377435!4d-51.0740917!16s%2Fg%2F11cn6r4ctb!19sChIJbexb0BLhYY0R1f_wmSYtM9A?authuser=0&hl=pt-BR&rclk=1
Psicóloga Adriana Campos,,(96) 98403-6048,,"Av. Fab, 1940 - Central, Macapá - AP, 68901-259","5,0",1,0.0414992,-51.0672187,"https://www.google.com/maps/place/Psic%C3%B3loga+Adriana+Campos/@0.0414992,-51.0672187,17z/data=!3m1!4b1!4m6!3m5!1s0x8d61e180586c270f:0x332e6a5ab6f8264a!8m2!3d0.0414992!4d-51.0672187!16s%2Fg%2F11p9w5cctv?authuser=0&hl=pt-BR&entry=ttu&g_ep=EgoyMDI2MDUxMy4wIKXMDSoASAFQAw%3D%3D"
Equipe TEA,,(96) 3388-5121,https://www.instagram.com/equipetea?igsh=MmNhbGZoeGhvamlo,"Av. dos Timbiras, 57 - Beirol, Macapá - AP, 68902-170","4,8",143,,,https://www.google.com/maps/place/Equipe+TEA/data=!4m7!3m6!1s0x8d61e1dfb179ff27:0xafb84a2f2520a311!8m2!3d0.0144015!4d-51.062386!16s%2Fg%2F11clttkdjf!19sChIJJ_95sd_hYY0REaMgJS9KuK8?authuser=0&hl=pt-BR&rclk=1
Neuropsicólogo Alex Gaia,,(96) 98135-3041,https://www.instagram.com/psic_alexgaia/,"R. São José, 715 - Laguinho, Macapá - AP, 68906-685","5,0",10,,,https://www.google.com/maps/place/Neuropsic%C3%B3logo+Alex+Gaia/data=!4m7!3m6!1s0x8d61e169a22cc3d9:0x4b9a1421aae07855!8m2!3d0.046878!4d-51.05088!16s%2Fg%2F11y2nw6t4w!19sChIJ2cMsomnhYY0RVXjgqiEUmks?authuser=0&hl=pt-BR&rclk=1
